"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Apr 19, 2022","
","3,261.00","
","3,327.00","
","3,325.00","
","3,325.00","
",32.81K, ,-0.75%,"
"
"
","Apr 14, 2022","
","3,285.50","
","3,275.00","
","3,270.00","
","3,265.00","
",27.38K, ,1.53%,"
"
"
","Apr 13, 2022","
","3,236.00","
","3,240.00","
","3,237.50","
","3,238.00","
",31.95K, ,-0.95%,"
"
"
","Apr 12, 2022","
","3,267.00","
","3,245.00","
","3,244.00","
","3,245.00","
",33.61K, ,0.58%,"
"
"
","Apr 11, 2022","
","3,248.00","
","3,251.00","
","3,249.00","
","3,251.00","
",50.28K, ,-3.75%,"
"
"
","Apr 08, 2022","
","3,374.50","
","3,423.00","
","3,422.00","
","3,423.00","
",25.82K, ,-0.31%,"
"
"
","Apr 07, 2022","
","3,385.00","
","3,380.00","
","3,372.00","
","3,374.00","
",41.48K, ,-1.63%,"
"
"
","Apr 06, 2022","
","3,441.00","
","3,462.00","
","3,466.00","
","3,460.00","
",34.06K, ,-0.69%,"
"
"
","Apr 05, 2022","
","3,465.00","
","3,445.00","
","3,440.00","
","3,441.00","
",24.42K, ,0.52%,"
"
"
","Apr 04, 2022","
","3,447.00","
","3,487.00","
","3,481.00","
","3,461.00","
",30.76K, ,-0.09%,"
"
"
","Apr 01, 2022","
","3,450.00","
","3,499.00","
","3,497.00","
","3,499.00","
",29.15K, ,-1.17%,"
"
"
","Mar 31, 2022","
","3,491.00","
","3,525.00","
","3,518.00","
","3,518.00","
",37.28K, ,-1.69%,"
"
"
","Mar 30, 2022","
","3,551.00","
","3,530.00","
","3,526.00","
","3,527.00","
",24.50K, ,3.35%,"
"
"
","Mar 29, 2022","
","3,436.00","
","3,610.00","
","3,606.00","
","3,608.00","
",60.30K, ,-4.93%,"
"
"
","Mar 28, 2022","
","3,614.00","
","3,615.00","
","3,615.50","
","3,615.00","
",17.90K, ,0.25%,"
"
"
","Mar 25, 2022","
","3,605.00","
","3,600.00","
","3,595.00","
","3,590.50","
",20.85K, ,-0.51%,"
"
"
","Mar 24, 2022","
","3,623.50","
","3,677.00","
","3,675.00","
","3,675.50","
",30.65K, ,-0.81%,"
"
"
","Mar 23, 2022","
","3,653.00","
","3,560.00","
","3,558.00","
","3,560.00","
",32.58K, ,4.24%,"
"
"
","Mar 22, 2022","
","3,504.50","
","3,570.00","
","3,553.00","
","3,550.50","
",32.40K, ,-0.47%,"
"
"
","Mar 21, 2022","
","3,521.00","
","3,502.00","
","3,524.00","
","3,502.00","
",39.49K, ,4.14%,"
"
"
","Mar 18, 2022","
","3,381.00","
","3,400.50","
","3,399.50","
","3,400.00","
",27.28K, ,-0.10%,"
"
"
","Mar 17, 2022","
","3,384.50","
","3,317.00","
","3,315.00","
","3,317.00","
",29.82K, ,3.87%,"
"
"
","Mar 16, 2022","
","3,258.50","
","3,327.00","
","3,325.00","
","3,327.00","
",36.07K, ,-0.58%,"
"
"
","Mar 15, 2022","
","3,277.50","
","3,276.00","
","3,274.00","
","3,254.00","
",63.06K, ,-1.27%,"
"
"
","Mar 14, 2022","
","3,319.50","
","3,413.00","
","3,410.00","
","3,411.00","
",37.15K, ,-4.69%,"
"
"
","Mar 11, 2022","
","3,483.00","
","3,437.00","
","3,500.00","
","3,437.00","
",30.79K, ,1.62%,"
"
"
","Mar 10, 2022","
","3,427.50","
","3,530.00","
","3,531.00","
","3,530.00","
",53.25K, ,2.59%,"
"
"
","Mar 09, 2022","
","3,341.00","
","3,522.00","
","3,533.00","
","3,522.00","
",69.17K, ,-4.49%,"
"
"
","Mar 08, 2022","
","3,498.00","
","3,516.00","
","3,514.00","
","3,516.00","
",92.28K, ,-6.47%,"
"
"
","Mar 07, 2022","
","3,740.00","
","3,968.00","
","3,966.00","
","3,968.00","
",83.05K, ,-2.83%,"
"
"
","Mar 04, 2022","
","3,849.00","
","3,804.00","
","3,819.00","
","3,804.00","
",76.73K, ,3.57%,"
"
"
","Mar 03, 2022","
","3,716.50","
","3,704.00","
","3,703.50","
","3,704.00","
",106.23K, ,4.13%,"
"
"
","Mar 02, 2022","
","3,569.00","
","3,566.00","
","3,568.00","
","3,566.00","
",68.40K, ,2.62%,"
"
"
","Mar 01, 2022","
","3,478.00","
","3,463.00","
","3,462.00","
","3,463.00","
",68.56K, ,3.25%,"
"
"
","Feb 28, 2022","
","3,368.50","
","3,415.00","
","3,445.00","
","3,414.00","
",85.69K, ,0.33%,"
"
"
","Feb 25, 2022","
","3,357.50","
","3,314.00","
","3,312.00","
","3,314.00","
",57.61K, ,-1.09%,"
"
"
","Feb 24, 2022","
","3,394.50","
","3,425.00","
","3,443.00","
","3,425.00","
",106.85K, ,3.10%,"
"
"
","Feb 23, 2022","
","3,292.50","
","3,285.00","
","3,288.00","
","3,285.00","
",50.20K, ,-0.32%,"
"
"
","Feb 22, 2022","
","3,303.00","
","3,326.00","
","3,366.00","
","3,326.00","
",69.13K, ,0.72%,"
"
"
","Feb 21, 2022","
","3,279.50","
","3,272.00","
","3,270.00","
","3,269.00","
",28.21K, ,0.52%,"
"
"
","Feb 18, 2022","
","3,262.50","
","3,261.00","
","3,263.00","
","3,261.00","
",42.99K, ,-0.17%,"
"
"
","Feb 17, 2022","
","3,268.00","
","3,254.00","
","3,252.00","
","3,241.00","
",39.81K, ,0.37%,"
"
"
","Feb 16, 2022","
","3,256.00","
","3,242.00","
","3,240.00","
","3,242.00","
",55.31K, ,1.50%,"
"
"
","Feb 15, 2022","
","3,208.00","
","3,200.00","
","3,194.00","
","3,195.00","
",41.55K, ,-0.20%,"
"
"
","Feb 14, 2022","
","3,214.50","
","3,186.00","
","3,305.00","
","3,186.00","
",55.23K, ,2.49%,"
"
"
","Feb 11, 2022","
","3,136.50","
","3,183.00","
","3,179.00","
","3,180.00","
",73.47K, ,-3.51%,"
"
"
","Feb 10, 2022","
","3,250.50","
","3,290.00","
","3,286.00","
","3,286.00","
",64.74K, ,-0.47%,"
"
"
","Feb 09, 2022","
","3,266.00","
","3,225.50","
","3,225.00","
","3,225.50","
",51.53K, ,2.61%,"
"
"
","Feb 08, 2022","
","3,183.00","
","3,205.00","
","3,194.50","
","3,195.00","
",77.23K, ,1.63%,"
"
"
","Feb 07, 2022","
","3,132.00","
","3,115.00","
","3,110.50","
","3,110.50","
",45.88K, ,1.89%,"
"
"
","Feb 04, 2022","
","3,074.00","
","3,065.00","
","3,063.00","
","3,065.00","
",42.23K, ,0.79%,"
"
"
","Feb 03, 2022","
","3,050.00","
","3,035.00","
","3,033.00","
","3,035.00","
",39.36K, ,2.14%,"
"
"
","Feb 02, 2022","
","2,986.00","
","3,028.00","
","3,026.00","
","3,028.00","
",64.02K, ,-1.53%,"
"
"
","Feb 01, 2022","
","3,032.50","
","3,049.00","
","3,048.00","
","3,049.00","
",33.74K, ,0.38%,"
"
"
","Jan 31, 2022","
","3,021.00","
","3,052.00","
","3,050.00","
","3,052.00","
",34.83K, ,-2.00%,"
"
"
","Jan 28, 2022","
","3,082.50","
","3,100.00","
","3,085.00","
","3,085.00","
",40.85K, ,-0.52%,"
"
"
","Jan 27, 2022","
","3,098.50","
","3,099.00","
","3,095.00","
","3,096.00","
",36.62K, ,0.15%,"
"
"
","Jan 26, 2022","
","3,094.00","
","3,082.00","
","3,079.50","
","3,079.50","
",30.61K, ,0.06%,"
"
"
","Jan 25, 2022","
","3,092.00","
","3,070.00","
","3,062.00","
","3,061.00","
",45.24K, ,2.10%,"
"
"
","Jan 24, 2022","
","3,028.50","
","3,031.00","
","3,030.00","
","3,031.00","
",34.44K, ,-0.39%,"
"
"
","Jan 21, 2022","
","3,040.50","
","3,062.00","
","3,060.00","
","3,060.50","
",51.53K, ,-2.27%,"
"
"
","Jan 20, 2022","
","3,111.00","
","3,080.00","
","3,080.00","
","3,080.00","
",81.13K, ,1.98%,"
"
"
","Jan 19, 2022","
","3,050.50","
","3,035.00","
","3,027.00","
","3,027.00","
",46.62K, ,0.86%,"
"
"
","Jan 18, 2022","
","3,024.50","
","3,008.00","
","3,005.50","
","3,005.50","
",43.36K, ,0.92%,"
"
"
","Jan 17, 2022","
","2,997.00","
","2,990.00","
","2,994.00","
","2,990.00","
",25.07K, ,0.69%,"
"
"
","Jan 14, 2022","
","2,976.50","
","2,983.00","
","2,980.00","
","2,980.00","
",60.36K, ,0.83%,"
"
"
","Jan 13, 2022","
","2,952.00","
","2,978.00","
","2,970.00","
","2,970.00","
",40.86K, ,-1.02%,"
"
"
","Jan 12, 2022","
","2,982.50","
","3,014.00","
","3,012.00","
","3,014.00","
",56.45K, ,0.42%,"
"
"
","Jan 11, 2022","
","2,970.00","
","2,962.00","
","2,960.00","
","2,962.00","
",42.57K, ,1.31%,"
"
"
","Jan 10, 2022","
","2,931.50","
","2,940.00","
","2,934.00","
","2,934.50","
",1.12K, ,0.58%,"
"
"
","Jan 07, 2022","
","2,914.50","
","2,933.00","
","2,930.00","
","2,932.00","
",47.05K, ,-0.24%,"
"
"
","Jan 06, 2022","
","2,921.50","
","2,928.00","
","2,923.00","
","2,923.50","
",51.16K, ,-0.02%,"
"
"
","Jan 05, 2022","
","2,922.00","
","2,885.00","
","2,883.00","
","2,885.00","
",68.35K, ,2.92%,"
"
"
","Jan 04, 2022","
","2,839.00","
","2,825.00","
","2,822.00","
","2,821.00","
",52.87K, ,1.12%,"
"
"
","Dec 31, 2021","
","2,807.50","
","2,815.00","
","2,805.00","
","2,810.00","
",47.53K, ,-0.37%,"
"
"
","Dec 30, 2021","
","2,818.00","
","2,828.00","
","2,827.00","
","2,825.00","
",47.53K, ,0.27%,"
"
"
","Dec 29, 2021","
","2,810.50","
","2,818.00","
","2,820.00","
","2,818.00","
",74.66K, ,-0.93%,"
"
"
","Dec 24, 2021","
","2,837.00","
","2,850.00","
","2,842.00","
","2,841.00","
",17.78K, ,-0.32%,"
"
"
","Dec 23, 2021","
","2,846.00","
","2,835.00","
","2,829.00","
","2,830.00","
",43.45K, ,0.76%,"
"
"
","Dec 22, 2021","
","2,824.50","
","2,835.00","
","2,828.00","
","2,829.00","
",62.53K, ,2.56%,"
"
"
","Dec 21, 2021","
","2,754.00","
","2,710.00","
","2,714.00","
","2,708.00","
",39.13K, ,3.11%,"
"
"
","Dec 20, 2021","
","2,671.00","
","2,679.00","
","2,677.00","
","2,675.00","
",38.22K, ,-1.96%,"
"
"
","Dec 17, 2021","
","2,724.50","
","2,716.00","
","2,710.00","
","2,710.50","
",46.10K, ,2.16%,"
"
"
","Dec 16, 2021","
","2,667.00","
","2,642.00","
","2,644.00","
","2,641.00","
",66.37K, ,2.70%,"
"
"
","Dec 15, 2021","
","2,597.00","
","2,590.00","
","2,589.50","
","2,590.00","
",41.76K, ,-1.20%,"
"
"
","Dec 14, 2021","
","2,628.50","
","2,634.00","
","2,630.00","
","2,631.00","
",26.75K, ,-0.96%,"
"
"
","Dec 13, 2021","
","2,654.00","
","2,652.00","
","2,650.50","
","2,651.00","
",35.02K, ,1.82%,"
"
"
","Dec 10, 2021","
","2,606.50","
","2,620.00","
","2,617.00","
","2,619.00","
",28.34K, ,-0.76%,"
"
"
","Dec 09, 2021","
","2,626.50","
","2,640.00","
","2,636.00","
","2,634.00","
",28.64K, ,-0.02%,"
"
"
","Dec 08, 2021","
","2,627.00","
","2,627.00","
","2,625.00","
","2,627.00","
",21.62K, ,-0.06%,"
"
"
","Dec 07, 2021","
","2,628.50","
","2,625.00","
","2,619.00","
","2,620.00","
",25.96K, ,1.56%,"
"
"
","Dec 06, 2021","
","2,588.00","
","2,590.00","
","2,588.00","
","2,585.00","
",34.48K, ,-1.33%,"
"
"
","Dec 03, 2021","
","2,623.00","
","2,629.00","
","2,627.00","
","2,629.00","
",32.72K, ,0.88%,"
"
"
","Dec 02, 2021","
","2,600.00","
","2,645.00","
","2,639.50","
","2,640.00","
",55.45K, ,-2.42%,"
"
"
","Dec 01, 2021","
","2,664.50","
","2,648.00","
","2,650.00","
","2,646.00","
",61.53K, ,1.50%,"
"
"
","Nov 30, 2021","
","2,625.00","
","2,630.00","
","2,625.00","
","2,626.00","
",51.65K, ,-0.19%,"
"
"
","Nov 29, 2021","
","2,630.00","
","2,645.00","
","2,642.00","
","2,642.50","
",49.98K, ,0.57%,"
"
"
","Nov 26, 2021","
","2,615.00","
","2,625.00","
","2,617.00","
","2,617.00","
",48.35K, ,-3.77%,"
"
"
","Nov 25, 2021","
","2,717.50","
","2,733.00","
","2,734.00","
","2,733.00","
",23.86K, ,0.50%,"
"
"
","Nov 24, 2021","
","2,704.00","
","2,705.00","
","2,690.50","
","2,690.50","
",29.45K, ,1.33%,"
"
"
","Nov 23, 2021","
","2,668.50","
","2,685.00","
","2,684.50","
","2,685.00","
",20.74K, ,-0.78%,"
"
"
","Nov 22, 2021","
","2,689.50","
","2,655.00","
","2,655.00","
","2,655.00","
",30.23K, ,0.37%,"
"
"
","Nov 19, 2021","
","2,679.50","
","2,649.00","
","2,643.00","
","2,644.00","
",42.36K, ,2.43%,"
"
"
","Nov 18, 2021","
","2,616.00","
","2,600.00","
","2,595.00","
","2,596.00","
",28.27K, ,-0.02%,"
"
"
","Nov 17, 2021","
","2,616.50","
","2,622.00","
","2,621.50","
","2,622.00","
",32.34K, ,1.63%,"
"
"
","Nov 16, 2021","
","2,574.50","
","2,628.00","
","2,628.00","
","2,628.00","
",61.52K, ,-3.11%,"
"
"
","Nov 15, 2021","
","2,657.00","
","2,682.00","
","2,677.00","
","2,678.00","
",41.16K, ,-1.59%,"
"
"
","Nov 12, 2021","
","2,700.00","
","2,690.00","
","2,677.00","
","2,679.00","
",38.53K, ,1.50%,"
"
"
","Nov 11, 2021","
","2,660.00","
","2,662.00","
","2,655.00","
","2,655.50","
",41.37K, ,3.18%,"
"
"
","Nov 10, 2021","
","2,578.00","
","2,585.00","
","2,573.00","
","2,575.00","
",36.59K, ,0.84%,"
"
"
","Nov 09, 2021","
","2,556.50","
","2,600.00","
","2,600.00","
","2,600.00","
",42.70K, ,-1.86%,"
"
"
","Nov 08, 2021","
","2,605.00","
","2,549.00","
","2,557.00","
","2,548.00","
",33.76K, ,1.90%,"
"
"
","Nov 05, 2021","
","2,556.50","
","2,522.00","
","2,520.00","
","2,522.00","
",53.69K, ,0.08%,"
"
"
","Nov 04, 2021","
","2,554.50","
","2,666.00","
","2,664.00","
","2,666.00","
",68.70K, ,-3.82%,"
"
"
","Nov 03, 2021","
","2,656.00","
","2,726.00","
","2,724.00","
","2,724.00","
",56.41K, ,-1.36%,"
"
"
","Nov 02, 2021","
","2,692.50","
","2,700.00","
","2,697.00","
","2,698.00","
",46.72K, ,-0.99%,"
"
"
","Nov 01, 2021","
","2,719.50","
","2,732.00","
","2,730.00","
","2,730.00","
",39.11K, ,0.11%,"
"
"
","Oct 29, 2021","
","2,716.50","
","2,709.00","
","2,693.00","
","2,695.00","
",67.42K, ,-1.09%,"
"
"
","Oct 28, 2021","
","2,746.50","
","2,740.00","
","2,732.00","
","2,733.00","
",87.06K, ,2.25%,"
"
"
","Oct 27, 2021","
","2,686.00","
","2,720.00","
","2,724.50","
","2,720.00","
",116.37K, ,-5.05%,"
"
"
","Oct 26, 2021","
","2,829.00","
","2,853.00","
","2,851.00","
","2,844.50","
",64.00K, ,-1.62%,"
"
"
","Oct 25, 2021","
","2,875.50","
","2,925.00","
","2,923.00","
","2,925.00","
",50.45K, ,0.26%,"
"
"
","Oct 22, 2021","
","2,868.00","
","2,957.00","
","2,955.00","
","2,957.00","
",105.92K, ,-1.46%,"
"
"
","Oct 21, 2021","
","2,910.50","
","3,025.00","
","3,023.00","
","3,023.50","
",90.31K, ,-5.18%,"
"
"
","Oct 20, 2021","
","3,069.50","
","3,073.00","
","3,074.00","
","3,073.00","
",70.75K, ,-1.37%,"
"
"
","Oct 19, 2021","
","3,112.00","
","3,187.00","
","3,194.00","
","3,187.00","
",74.02K, ,-1.75%,"
"
"
","Oct 18, 2021","
","3,167.50","
","3,200.00","
","3,198.00","
","3,200.00","
",59.54K, ,-0.13%,"
"
"
","Oct 15, 2021","
","3,171.50","
","3,190.00","
","3,185.00","
","3,185.50","
",66.74K, ,1.75%,"
"
"
","Oct 14, 2021","
","3,117.00","
","3,172.00","
","3,171.00","
","3,172.00","
",69.44K, ,1.60%,"
"
"
","Oct 13, 2021","
","3,068.00","
","3,109.00","
","3,107.00","
","3,089.00","
",51.51K, ,0.00%,"
"
"
","Oct 12, 2021","
","3,068.00","
","3,073.00","
","3,072.00","
","3,073.00","
",58.81K, ,0.13%,"
"
"
","Oct 11, 2021","
","3,064.00","
","3,035.00","
","3,033.00","
","3,032.00","
",64.03K, ,3.30%,"
"
"
","Oct 08, 2021","
","2,966.00","
","2,918.00","
","2,922.00","
","2,918.00","
",60.14K, ,0.68%,"
"
"
","Oct 07, 2021","
","2,946.00","
","2,919.00","
","2,933.00","
","2,918.00","
",42.44K, ,1.69%,"
"
"
","Oct 06, 2021","
","2,897.00","
","2,890.00","
","2,892.00","
","2,887.00","
",38.67K, ,-0.82%,"
"
"
","Oct 05, 2021","
","2,921.00","
","2,908.00","
","2,911.00","
","2,908.00","
",26.22K, ,0.17%,"
"
"
","Oct 04, 2021","
","2,916.00","
","2,913.00","
","2,913.00","
","2,910.00","
",25.25K, ,2.07%,"
"
"
","Oct 01, 2021","
","2,857.00","
","2,881.00","
","2,880.00","
","2,881.00","
",38.56K, ,-0.05%,"
"
"
","Sep 30, 2021","
","2,858.50","
","2,870.00","
","2,866.00","
","2,867.00","
",60.39K, ,-1.82%,"
"
"
","Sep 29, 2021","
","2,911.50","
","2,937.00","
","2,935.00","
","2,930.00","
",36.67K, ,-1.12%,"
"
"
","Sep 28, 2021","
","2,944.50","
","2,916.00","
","2,917.00","
","2,916.00","
",59.19K, ,2.12%,"
"
"
","Sep 27, 2021","
","2,883.50","
","2,904.00","
","2,903.00","
","2,904.00","
",42.20K, ,-1.10%,"
"
"
","Sep 24, 2021","
","2,915.50","
","2,925.00","
","2,917.50","
","2,918.00","
",41.62K, ,-1.15%,"
"
"
","Sep 23, 2021","
","2,949.50","
","2,953.00","
","2,950.00","
","2,951.00","
",56.00K, ,0.49%,"
"
"
","Sep 22, 2021","
","2,935.00","
","2,910.00","
","2,905.50","
","2,905.50","
",61.22K, ,3.13%,"
"
"
","Sep 21, 2021","
","2,846.00","
","2,880.00","
","2,878.00","
","2,878.50","
",40.30K, ,-0.59%,"
"
"
","Sep 20, 2021","
","2,863.00","
","2,860.00","
","2,856.00","
","2,857.00","
",38.73K, ,-0.78%,"
"
"
","Sep 17, 2021","
","2,885.50","
","2,929.00","
","2,927.00","
","2,927.00","
",35.70K, ,0.21%,"
"
"
","Sep 16, 2021","
","2,879.50","
","2,895.00","
","2,892.50","
","2,893.00","
",40.82K, ,-0.47%,"
"
"
","Sep 15, 2021","
","2,893.00","
","2,888.00","
","2,887.50","
","2,888.00","
",72.98K, ,2.19%,"
"
"
","Sep 14, 2021","
","2,831.00","
","2,867.00","
","2,865.00","
","2,858.00","
",57.54K, ,-2.26%,"
"
"
","Sep 13, 2021","
","2,896.50","
","2,948.00","
","2,950.00","
","2,882.00","
",71.54K, ,-0.94%,"
"
"
","Sep 10, 2021","
","2,924.00","
","2,910.00","
","2,906.00","
","2,906.00","
",56.53K, ,2.98%,"
"
"
","Sep 09, 2021","
","2,839.50","
","2,829.00","
","2,837.00","
","2,828.00","
",47.38K, ,1.63%,"
"
"
","Sep 08, 2021","
","2,794.00","
","2,788.00","
","2,792.00","
","2,788.00","
",46.32K, ,1.34%,"
"
"
","Sep 07, 2021","
","2,757.00","
","2,769.00","
","2,767.00","
","2,756.00","
",22.83K, ,-0.58%,"
"
"
","Sep 06, 2021","
","2,773.00","
","2,758.00","
","2,756.50","
","2,757.00","
",41.12K, ,1.69%,"
"
"
","Sep 03, 2021","
","2,727.00","
","2,723.38","
","2,723.63","
","2,684.00","
",36.37K, ,1.19%,"
"
"
","Sep 02, 2021","
","2,695.00","
","2,685.88","
","2,727.88","
","2,673.32","
",57.92K, ,0.19%,"
"
"
","Sep 01, 2021","
","2,690.00","
","2,685.88","
","2,713.00","
","2,673.32","
",53.08K, ,-1.03%,"
"
"
","Aug 31, 2021","
","2,718.00","
","2,689.00","
","2,726.25","
","2,681.25","
",63.98K, ,2.59%,"
"
"
","Aug 27, 2021","
","2,649.50","
","2,621.00","
","2,697.25","
","2,618.00","
",60.33K, ,1.15%,"
"
"
","Aug 26, 2021","
","2,619.50","
","2,620.50","
","2,638.50","
","2,594.25","
",35.40K, ,0.08%,"
"
"
","Aug 25, 2021","
","2,617.50","
","2,612.75","
","2,616.23","
","2,606.75","
",25.69K, ,0.10%,"
"
"
","Aug 24, 2021","
","2,615.00","
","2,601.00","
","2,615.82","
","2,597.75","
",49.17K, ,0.50%,"
"
"
","Aug 23, 2021","
","2,602.00","
","2,539.75","
","2,590.65","
","2,539.75","
",41.38K, ,2.18%,"
"
"
","Aug 20, 2021","
","2,546.50","
","2,543.75","
","2,579.75","
","2,542.50","
",32.79K, ,0.04%,"
"
"
","Aug 19, 2021","
","2,545.50","
","2,565.25","
","2,571.75","
","2,516.25","
",49.79K, ,-0.37%,"
"
"
","Aug 18, 2021","
","2,555.00","
","2,564.00","
","2,594.25","
","2,559.50","
",37.38K, ,-1.71%,"
"
"
","Aug 17, 2021","
","2,599.50","
","2,597.75","
","2,615.75","
","2,588.00","
",68.57K, ,-0.10%,"
"
"
","Aug 16, 2021","
","2,602.00","
","2,601.13","
","2,605.55","
","2,594.75","
",33.97K, ,0.08%,"
"
"
","Aug 13, 2021","
","2,600.00","
","2,606.50","
","2,607.50","
","2,579.50","
",27.26K, ,0.68%,"
"
"
","Aug 12, 2021","
","2,582.50","
","2,587.50","
","2,607.25","
","2,567.50","
",32.81K, ,-0.12%,"
"
"
","Aug 11, 2021","
","2,585.50","
","2,583.50","
","2,593.75","
","2,574.25","
",21.60K, ,0.43%,"
"
"
","Aug 10, 2021","
","2,574.50","
","2,555.25","
","2,591.75","
","2,551.00","
",37.92K, ,1.00%,"
"
"
","Aug 09, 2021","
","2,549.00","
","2,551.25","
","2,573.25","
","2,542.40","
",42.08K, ,-1.12%,"
"
"
","Aug 06, 2021","
","2,578.00","
","2,582.25","
","2,590.42","
","2,582.25","
",30.09K, ,-0.39%,"
"
"
","Aug 05, 2021","
","2,588.00","
","2,590.00","
","2,590.57","
","2,568.25","
",22.73K, ,0.84%,"
"
"
","Aug 04, 2021","
","2,566.50","
","2,564.75","
","2,588.15","
","2,564.50","
",24.79K, ,-0.75%,"
"
"
","Aug 03, 2021","
","2,586.00","
","2,618.75","
","2,618.75","
","2,597.88","
",39.18K, ,-1.11%,"
"
"
","Aug 02, 2021","
","2,615.00","
","2,628.50","
","2,631.14","
","2,603.00","
",33.54K, ,0.97%,"
"
"
","Jul 30, 2021","
","2,590.00","
","2,596.75","
","2,641.25","
","2,582.50","
",62.86K, ,-0.06%,"
"
"
","Jul 29, 2021","
","2,591.50","
","2,524.75","
","2,596.25","
","2,518.50","
",46.89K, ,2.15%,"
"
"
","Jul 28, 2021","
","2,537.00","
","2,534.25","
","2,538.50","
","2,502.50","
",40.94K, ,1.89%,"
"
"
","Jul 27, 2021","
","2,490.00","
","2,502.75","
","2,524.50","
","2,479.25","
",34.41K, ,-1.15%,"
"
